Type,FPKOI,FPKIC,Name,KIC,PRatio,Dist,DelRow,DelCol,m2mag,DelMag,DRatio,Flag
Antipodal Reflection,3900.01,11911580,003644542-sec,3644542,3:1,41461.2,-18,44,8.35,5.55,2.33E+02,0
Antipodal Reflection,4646.01,12012439,003439031-sec,3439031,1:2,42997.7,5,64,11.29,4.04,3.67E+03,0
CCD Crosstalk,559.01,6422367,005343976-pri,5343976,1:1,6526,0,1,12.61,2.18,9.11E+02,0
CCD Crosstalk,1192.02,3644071,003644542-pri,3644542,3:1,447,-6,-1,8.35,5.86,9.66E+01,0
CCD Crosstalk,2908.01,6612284,006206751-pri,6206751,1:1,3776.4,0,-2,12.14,3.75,9.33E+02,0
CCD Crosstalk,3827.01,5114623,003858884-pri,3858884,13:1,7285.7,9,0,9.28,6.08,1.04E+02,0
CCD Crosstalk,3827.02,5114623,003858884-pri,3858884,15:1,7285.7,9,0,9.28,6.08,7.70E+01,0
CCD Crosstalk,3959.01,9282769,BR-Cyg-pri,9899416,1:1,7582.2,3,2,10.03,3.38,1.46E+03,0
CCD Crosstalk,4113.01,9282762,BR-Cyg-pri,9899416,1:1,7602.3,-2,7,10.03,5.68,4.64E+03,0
CCD Crosstalk,4429.01,4584865,006891512-sec,6891512,1:2,10889,-13,0,11.39,1.19,9.95E+03,0
Column Anomaly,1924.01,5108214,3688.01,5020034,1:1,89.7,-22,1,15.81,-7.97,2.32E+03,0
Column Anomaly,2233.01,8963721,009101279-pri,9101279,1:1,1527.8,384,0,13.95,0.73,4.73E+03,0
Column Anomaly,2600.01,9777251,BR-Cyg-pri,9899416,1:1,1984.9,499,3,10.03,5.03,5.31E+03,0
Column Anomaly,2769.01,9692128,009569866-pri,9569866,1:1,845,212,0,13.98,-0.32,2.79E+03,0
Column Anomaly,2997.01,9777256,BR-Cyg-pri,9899416,1:1,1975.9,496,1,10.03,5.23,4.55E+03,0
Column Anomaly,3028.01,9838804,BR-Cyg-pri,9899416,1:1,763.2,191,3,10.03,5.96,3.25E+03,0
Column Anomaly,3084.01,3324986,003836439-pri,3836439,1:1,3214.5,-286,6,7.57,7.42,3.87E+02,3
Column Anomaly,3223.01,5556726,005471619-pri,5471619,1:1,489.4,123,1,12.37,-0.2,4.40E+03,0
Column Anomaly,3240.01,6206559,006206751-pri,6206751,1:1,308,78,-1,12.14,0.2,6.39E+03,0
Column Anomaly,3243.01,9821151,T-Lyr1-17236-pri,9821078,1:1,173.3,44,-1,14.12,-1.73,5.00E+03,0
Column Anomaly,3247.01,3336476,UZ-Lyr-pri,2708156,1:1,2112,-531,1,10.67,1.74,4.55E+04,0
Column Anomaly,3498.01,8635938,008700506-pri,8700506,1:1,313.4,79,0,13.48,-0.52,1.47E+03,0
Column Anomaly,3968.01,8823833,008823397-pri,8823397,1:1,487.8,123,0,13.25,-0.35,8.45E+03,0
Column Anomaly,4020.01,7038096,RR-Lyr-pri,7198959,1:1,4900.3,836,-1,7.86,6.79,1.56E+03,3
Column Anomaly,4044.01,5201115,005288543-pri,5288543,1:2,351.4,88,0,13.59,-0.72,4.92E+03,0
Column Anomaly,4048.01,10272389,V850-Cyg-pri,10206340,1:1,311.7,78,1,11.2,3.14,3.88E+03,0
Column Anomaly,4058.01,4769931,3664.01,4678875,1:1,448.1,112,1,13.24,0.66,3.10E+03,0
Column Anomaly,4083.01,8524346,008589754-pri,8589754,1:2,487.5,123,0,14,-0.28,1.40E+03,0
Column Anomaly,4094.01,8128247,008128965-pri,8128965,1:2,486.9,122,0,13.23,0.1,3.47E+03,0
Column Anomaly,4114.01,3117046,003644542-pri,3644542,3:1,2113.5,531,-5,8.35,6.47,3.89E+02,0
Column Anomaly,4125.01,9099950,009164694-pri,9164694,1:1,163.6,41,0,14.18,-1.33,3.96E+03,0
Column Anomaly,4138.01,4636565,004445630-sec,4445630,1:2,1217.5,306,0,13.86,-1.35,7.23E+03,0
Column Anomaly,4142.01,9716302,BR-Cyg-pri,9899416,1:1,2638.5,663,5,10.03,6.46,1.37E+03,0
Column Anomaly,4147.01,8029197,008098300-pri,8098300,1:2,293.3,74,-1,12.82,-0.17,8.34E+03,0
Column Anomaly,4197.01,9777724,BR-Cyg-pri,9899416,1:1,1509.7,379,3,10.03,5.84,4.68E+03,0
Column Anomaly,4243.01,9777757,BR-Cyg-pri,9899416,1:1,1477.6,371,4,10.03,2.97,1.42E+04,0
Column Anomaly,4306.01,8149484,008081389-pri,8081389,1:1,229.3,58,0,13.99,-0.9,8.41E+03,0
Column Anomaly,4316.01,9777290,BR-Cyg-pri,9899416,1:1,1957.7,492,5,10.03,6.31,2.42E+03,0
Column Anomaly,4350.01,11872139,T-Cyg1-00246-pri,11922782,1:2,609,153,2,10.46,2.85,1.07E+04,0
Column Anomaly,4387.01,2830919,003836439-pri,3836439,1:1,5110.8,-763,6,7.57,7.18,5.00E+02,3
Column Anomaly,4433.01,9518651,FL-Lyr-pri,9641031,1:1,771.8,-194,2,9.18,4.93,7.91E+03,0
Column Anomaly,4437.01,8492101,008621026-pri,8621026,1:1,951.1,239,0,13.37,0.14,3.02E+03,0
Column Anomaly,4438.01,6343576,3512.01,6182849,1:1,1371,345,0,13.72,-0.21,4.44E+03,0
Column Anomaly,4455.01,9777200,BR-Cyg-pri,9899416,1:1,2041.8,513,1,10.03,3.89,1.19E+04,0
Column Anomaly,4516.01,9849884,009971475-pri,9971475,1:1,1507.6,379,0,13.17,-0.57,2.83E+03,0
Column Anomaly,4517.01,11243547,011401845-pri,11401845,1:1,1079.4,271,1,14.36,0.4,5.21E+03,0
Column Anomaly,4534.01,7699298,007770471-pri,7770471,1:1,617.8,155,-1,14.62,-1.07,1.25E+04,0
Column Anomaly,4553.01,6126076,006045264-pri,6045264,1:1,432,109,1,13.44,-0.71,1.10E+04,0
Column Anomaly,4559.01,7285673,RR-Lyr-pri,7198959,1:1,4147.3,521,0,7.86,6.64,2.61E+03,3
Column Anomaly,4611.01,10801249,010735564-pri,10735564,1:1,498.2,125,0,14.57,-1.2,6.59E+03,0
Column Anomaly,4620.01,11137065,V2083-Cyg-pri,10342012,1:2,5482.1,677,0,6.9,7.91,2.16E+03,3
Column Anomaly,4635.01,9873759,009873869-pri,9873869,1:1,324.1,82,1,13.04,0.78,2.92E+03,0
Column Anomaly,4658.01,4946049,3664.01,4678875,1:1,1061.1,267,0,13.24,-0.29,2.79E+04,0
Column Anomaly,4675.01,10130057,FL-Lyr-pri,9641031,1:1,3770.8,-384,5,9.18,6.44,3.48E+03,3
Column Anomaly,4677.01,9838608,BR-Cyg-pri,9899416,1:1,982.9,247,2,10.03,5.14,7.04E+03,0
Column Anomaly,4692.01,10972902,V753-Cyg-pri,10858720,3:2,1114.4,-280,1,10.97,3.8,5.68E+03,0
Column Anomaly,4788.01,9396760,FL-Lyr-pri,9641031,1:1,1783.6,-448,3,9.18,5.38,5.24E+03,0
Column Anomaly,4814.01,9777556,BR-Cyg-pri,9899416,1:1,1676,421,3,10.03,6.04,1.77E+03,0
Column Anomaly,4887.01,4059887,004160006-pri,4160006,1:2,459.4,115,1,14.3,-1.39,1.13E+04,0
Direct PRF,6.01,3248033,1759.01,3248019,1:1,14.3,-4,0,15.39,-3.23,1.69E+02,0
Direct PRF,8.01,5903312,3692.01,5903301,1:1,8,-2,-1,15.15,-2.7,3.28E+01,0
Direct PRF,11.01,11913073,011913071-pri,11913071,1:1,34.9,7,-5,9.53,3.96,2.49E+02,0
Direct PRF,15.01,3964562,3542.01,3964545,1:1,9.4,-2,2,14.78,-2.37,1.10E+02,0
Direct PRF,16.01,9110357,009110346-pri,9110346,1:2,9.9,2,-2,16.4,-2.82,2.44E+02,0
Direct PRF,24.01,4743513,3572.01,4743508,1:1,4.3,0,-1,14.55,-1.59,1.03E+01,0
Direct PRF,26.01,5021737,005021732-pri,5021732,1:1,4.5,0,-1,13.62,-1.63,1.06E+00,1
Direct PRF,43.01,9025922,3596.01,9025914,1:1,8.4,2,1,16.76,-3.47,4.73E+01,1
Direct PRF,90.01,9210823,009210828-pri,9210828,1:2,15.2,-2,-3,13.22,-1.48,3.29E+02,0
Direct PRF,106.01,10489525,3625.01,10489521,1:1,11.8,-2,-2,16.17,-3.39,8.51E+02,0
Direct PRF,121.01,3247396,4035.01,3247404,1:1,6.8,2,0,18.53,-5.77,4.84E+01,1
Direct PRF,133.01,11673674,011673686-pri,11673686,1:1,16.5,4,-1,11.69,1.97,7.48E+00,0
Direct PRF,140.01,5130369,3707.01,5130380,1:1,5.9,0,1,16.3,-2.45,2.94E+01,0
Direct PRF,146.01,9048161,009048145-pri,9048145,1:1,9,0,2,13.09,-0.06,1.53E+01,0
Direct PRF,158.01,10555375,3771.01,10555365,1:1,6.7,-2,0,16.61,-2.85,3.23E+01,0
Direct PRF,164.01,5652237,3703.01,5652260,1:1,9.4,0,2,17.3,-3.79,3.11E+02,0
Direct PRF,169.01,6185711,006185717-pri,6185717,1:1,11.8,3,-2,13.39,0.19,4.64E+01,0
Direct PRF,170.01,11044770,3327.01,11044779,1:1,11,2,0,15.47,-2.09,1.11E+02,0
Direct PRF,175.01,8323753,3767.01,8323764,1:1,7.7,-2,0,17.38,-3.89,9.89E+01,0
Direct PRF,178.01,11455491,3673.01,11455484,1:1,6.9,0,-2,16.15,-2.7,6.78E+02,0
Direct PRF,233.01,5023956,3570.01,5023948,1:1,8.9,2,0,15.05,-0.44,3.12E+01,0
Direct PRF,236.01,8453211,008453191-pri,8453191,1:2,14.4,3,0,13.36,1.22,3.71E+01,0
Direct PRF,243.01,9592579,3565.01,9592575,1:1,6.7,0,1,15.9,-0.8,2.96E+01,0
Direct PRF,253.01,11752906,2651.01,11752908,1:1,5.1,-1,-1,15.55,-0.3,5.72E-01,1
Direct PRF,263.01,10514430,1614.01,10514429,1:1,2.1,1,1,11.41,-0.59,1.21E+00,1
Direct PRF,264.01,3097346,3648.01,3097352,1:1,10.3,0,3,16.94,-5.38,1.11E+03,0
Direct PRF,286.01,8258171,3870.01,8258160,1:1,9.3,2,-2,16.38,-4.73,7.24E+01,1
Direct PRF,293.01,11200415,3724.01,11200405,1:1,7.6,1,-1,16.8,-4.75,2.93E+02,0
Direct PRF,300.01,3438975,003439031-sec,3439031,1:2,38.3,-2,-10,11.29,1.01,3.51E+03,0
Direct PRF,324.01,9641041,FL-Lyr-pri,9641031,1:2,66.6,-15,-7,9.18,3.04,2.75E+03,0
Direct PRF,325.01,9724984,009724993-pri,9724993,1:1,9.7,-1,2,12.52,0.42,3.62E+01,0
Direct PRF,329.01,10031885,010031808-pri,10031808,1:1,62.5,-15,2,9.56,3.92,9.89E+02,0
Direct PRF,334.01,10383687,3671.01,10383696,1:1,10.9,-1,-3,16.95,-3.65,5.76E+02,0
Direct PRF,336.01,10518725,010518735-sec,10518735,1:1,14.6,4,1,16.74,-3.62,7.48E+02,0
Direct PRF,359.01,12106929,3895.01,12106934,1:1,12,-1,-2,18.36,-4.56,9.71E+01,1
Direct PRF,363.01,2438070,002438061-pri,2438061,1:2,6.3,2,0,17.5,-3.73,1.00E+01,1
Direct PRF,376.01,12643589,3626.01,12643582,1:1,7.5,-1,2,16.44,-2.69,4.40E+01,0
Direct PRF,378.01,2449074,3702.01,2449090,1:1,10.6,-1,3,16.24,-3.09,1.56E+02,0
Direct PRF,380.01,2452450,3687.01,2452440,1:1,7.4,0,-2,16.47,-3.36,5.60E+01,0
Direct PRF,382.01,3231137,3643.01,3231120,1:1,8.7,1,2,16.6,-3.04,1.78E+02,0
Direct PRF,391.01,3858804,003858884-sec,3858884,1:1,65.2,11,-12,9.28,4.5,6.24E+02,0
Direct PRF,411.01,5478055,3738.01,5478083,1:1,12.6,2,1,17.52,-3.01,2.62E+02,0
Direct PRF,441.01,3340312,3677.01,3340313,1:1,11,-2,1,16.25,-1.71,7.94E+01,0
Direct PRF,447.01,5021176,3679.01,5021174,1:1,7.3,1,1,17.7,-2.84,4.86E+02,0
Direct PRF,451.01,6200715,3694.01,6200709,1:1,6.9,2,-1,16.72,-1.79,8.57E+01,0
Direct PRF,461.01,8621348,3682.01,8621353,1:1,7.3,1,-2,17.95,-3.54,5.67E+02,0
Direct PRF,485.01,12316431,3575.01,12316447,1:1,14.4,4,0,16.11,-1.94,2.87E+02,0
Direct PRF,489.01,2576197,4465.01,2576224,1:1,15.7,1,-3,12.73,1.88,5.25E-02,1
Direct PRF,493.01,3834360,003834364-pri,3834364,1:1,11.4,0,-3,14.66,0.06,8.72E+01,0
Direct PRF,495.01,4049108,004049124-pri,4049124,1:1,11.7,2,-2,14.65,0.22,1.74E+02,0
Direct PRF,502.01,5282051,1545.01,5282049,1:1,8.3,-2,1,15.17,-0.89,8.12E+01,0
Direct PRF,515.01,7812179,3665.01,7812175,1:1,5.1,1,1,16.33,-1.9,5.78E+01,0
Direct PRF,516.01,7840044,3758.01,7840035,1:1,6.8,0,-2,16.9,-2.37,1.14E+02,0
Direct PRF,521.01,8162789,1712.01,8162790,1:1,3.4,0,1,15.05,-0.41,9.34E-01,1
Direct PRF,527.01,9636569,3618.01,9636559,1:1,10.1,-2,2,17.04,-2.6,5.61E+02,0
Direct PRF,544.01,11913012,011913071-pri,11913071,1:1,90.4,15,17,9.53,5.23,4.50E+02,0
Direct PRF,553.01,5303551,3982.01,5303557,1:1,4.8,1,0,16.49,-1.61,1.50E+01,0
Direct PRF,556.01,5738496,005738506-sec,5738506,1:1,11.2,-1,2,18.35,-3.55,2.85E+02,0
Direct PRF,565.01,7025846,007025851-pri,7025851,1:2,14.8,3,-2,14.39,-0.09,1.25E+03,0
Direct PRF,576.01,8474898,008474892-pri,8474892,1:1,7.5,-1,2,14.37,0.17,5.77E+00,0
Direct PRF,591.01,9886221,009886224-pri,9886224,1:1,13.4,-1,3,16.33,-1.93,9.92E+02,0
Direct PRF,603.01,2441151,3642.01,2441161,1:1,10.6,2,1,16.65,-1.97,7.62E+01,0
Direct PRF,613.01,6960456,3654.01,6960446,1:1,8,0,-2,16.8,-2.01,4.72E+02,0
Direct PRF,630.01,4659405,3691.01,4751083,1:1,9.9,2,-1,16.03,-2.1,1.54E+02,0
Direct PRF,642.01,5181817,005181804-pri,5181804,1:1,9.9,0,-2,15.93,-2.72,2.03E+02,0
Direct PRF,651.01,5796186,005796185-pri,5796185,1:1,8.5,2,1,15.83,-1.92,7.17E+01,0
Direct PRF,669.01,6960445,3654.01,6960446,1:1,6.7,-1,-1,16.8,-2.96,1.08E+02,0
Direct PRF,672.03,7115785,RR-Lyr-pri,7198959,1:1,733.4,39,-181,7.86,6.14,2.40E+04,0
Direct PRF,675.01,7385509,007385478-pri,7385478,1:1,18.4,-4,-3,11.47,2.37,1.10E+02,0
Direct PRF,702.01,9053112,3751.01,9053086,1:1,14.3,-3,2,14.03,-0.28,2.05E+02,0
Direct PRF,712.01,9640976,FL-Lyr-pri,9641031,1:1,138.2,35,2,9.18,4.54,2.51E+03,0
Direct PRF,713.01,9640985,FL-Lyr-pri,9641031,1:1,63.1,13,-9,9.18,4.66,8.48E+02,0
Direct PRF,727.01,10191070,T-Lyr1-00687-sec,10191056,1:2,26.5,-1,-7,10.81,5.01,8.71E+01,0
Direct PRF,731.01,10259031,3630.01,10259029,1:1,6.1,-2,1,17.11,-1.52,4.00E+01,0
Direct PRF,748.01,10583180,T-Lyr1-01013-pri,10583181,1:1,52.9,-10,9,11.01,4.26,4.96E+02,0
Direct PRF,789.01,12459725,3662.01,12459731,1:1,12,1,3,17.43,-1.7,3.28E+02,0
Direct PRF,796.01,3114661,3763.01,3114667,1:2,8.4,-2,1,17.38,-1.63,2.94E+01,0
Direct PRF,807.01,3836375,003836439-pri,3836439,1:1,66.2,16,5,7.57,8.4,4.68E+01,0
Direct PRF,808.01,3838486,3700.01,3838496,1:1,10.1,2,1,17.9,-2.06,4.87E+02,0
Direct PRF,836.01,5481416,3772.01,5481426,1:1,6,1,1,19.32,-3.48,2.47E+02,0
Direct PRF,839.01,5649215,3636.01,5649206,1:1,7.7,-1,-1,17.99,-2.97,1.79E+02,0
Direct PRF,859.01,6675056,3611.01,6675060,1:1,9.3,1,2,16.51,-0.96,1.21E+02,0
Direct PRF,894.01,7708215,3666.01,7708193,1:1,11.1,3,0,15.99,-0.73,3.79E+01,0
Direct PRF,909.01,8256049,3652.01,8256044,1:1,7.9,2,-1,15.88,-0.22,5.40E+00,0
Direct PRF,930.01,9159275,009159301-pri,9159301,1:1,21.2,-5,3,12.15,3.47,2.71E+02,0
Direct PRF,932.01,9166870,009166862-pri,9166862,1:1,7.5,-2,1,15.27,-0.22,1.41E+01,0
Direct PRF,946.01,9661877,009661869-pri,9661869,1:1,7.8,2,0,16.68,-1.51,7.60E+01,0
Direct PRF,965.01,3337351,003230227-pri,3230227,1:1,17.8,-2,4,9,4.36,1.26E+00,0
Direct PRF,982.01,1433962,3924.01,1433980,1:1,14.3,3,-2,14.92,0.56,1.46E+02,0
Direct PRF,989.02,10743597,010743600-pri,10743600,1:1,5.6,0,-1,17.21,-1.72,8.09E+01,0
Direct PRF,995.01,3858949,003858884-pri,3858884,1:1,43,-5,10,9.28,5.3,4.93E+02,0
Direct PRF,996.01,3858824,003858884-pri,3858884,1:1,61.1,14,-7,9.28,6.07,2.24E+02,0
Direct PRF,1004.01,2309585,002309587-pri,2309587,1:1,11.7,-2,1,13.93,1.45,1.53E+01,0
Direct PRF,1012.01,8127639,3713.01,8127648,1:1,10,3,0,17.51,-2.12,1.32E+02,0
Direct PRF,1021.01,2558363,3855.01,2558370,1:1,6.9,-1,1,18.55,-2.55,2.73E+02,0
Direct PRF,1023.01,2445154,002445134-pri,2445134,1:1,16.7,1,4,13.55,1.61,1.78E+02,0
Direct PRF,1028.01,2166206,3735.01,2166200,1:1,8.3,-1,-2,17.64,-4.34,1.86E+02,0
Direct PRF,1037.01,6205468,006205460-pri,6205460,1:1,17.6,-4,0,12.75,2.77,2.28E+02,0
Direct PRF,1038.01,6153201,006153219-pri,6153219,1:1,9.3,0,2,17.09,-1.65,4.34E+01,0
Direct PRF,1040.01,5817553,005817566-sec,5817566,1:2,15.3,-3,3,11.68,2.4,1.09E+02,0
Direct PRF,1041.01,5982368,005982353-pri,5982353,1:1,11,3,1,11.12,2.92,2.31E+00,0
Direct PRF,1042.01,5816811,3645.01,5816806,1:1,7,-2,0,17.05,-2.2,9.26E+01,0
Direct PRF,1045.01,6066403,3649.01,6066379,1:1,12.2,3,-1,15.47,-1.92,2.43E+02,0
Direct PRF,1049.01,5876368,4279.01,5876360,1:2,5,-1,1,17.17,-2.38,9.97E+01,0
Direct PRF,1055.01,5866099,3651.01,5866104,1:1,5.5,0,-1,17.07,-3.37,1.66E+02,0
Direct PRF,1057.01,6066416,3649.01,6066379,1:1,14.8,2,-3,15.47,-3.92,6.94E+02,0
Direct PRF,1068.01,8264070,3655.01,8264097,1:1,14,3,2,17.69,-2.65,2.67E+02,0
Direct PRF,1071.01,8244190,3545.01,8244173,1:1,13.7,3,3,15.9,-1.4,1.89E+03,0
Direct PRF,1073.01,8262210,008262223-pri,8262223,1:1,26.7,-1,6,12.15,1.8,9.84E+02,0
Direct PRF,1077.01,10268907,3773.01,10268903,1:1,6,-1,0,17.36,-1.63,2.51E+02,0
Direct PRF,1080.01,10158990,1823.02,10092312,1:1,9.9,1,2,13.95,0.91,1.81E+00,1
Direct PRF,1087.01,3124412,3918.01,3124420,1:1,5.8,1,0,18.24,-3.33,1.02E+02,0
Direct PRF,1091.01,3098184,003098194-sec,3098194,1:2,8.8,-2,0,13.9,1.25,1.52E+01,0
Direct PRF,1100.01,3228824,V404-Lyr-pri,3228863,1:1,59.1,7,-13,11.82,3.92,9.84E+02,0
Direct PRF,1107.01,3228959,V404-Lyr-pri,3228863,1:1,82.6,20,5,11.82,3.58,2.34E+03,0
Direct PRF,1111.01,3120276,003120320-pri,3120320,1:1,36.5,5,8,10.88,4.33,3.65E+02,0
Direct PRF,1112.01,3109930,4720.01,3109937,1:1,4.8,-1,-2,15.75,-1.12,1.38E+00,1
Direct PRF,1114.01,3337425,003230227-pri,3230227,1:1,64.9,5,16,9,5.93,2.20E+02,0
Direct PRF,1119.01,3003992,003003991-pri,3003991,1:1,19.8,-5,-2,13.93,-2.77,1.48E+03,0
Direct PRF,1124.01,6301035,006301030-pri,6301030,1:1,8.8,3,1,17.78,-2.8,1.24E+02,0
Direct PRF,1126.01,6307521,006307537-pri,6307537,1:1,19.3,2,4,11.75,3.51,1.94E+02,0
Direct PRF,1132.01,8330548,008330575-sec,8330575,1:1,12.3,2,3,13.48,0.96,6.18E+00,0
Direct PRF,1133.01,8374494,008374499-pri,8374499,1:1,8.3,-1,-2,14.91,0.84,1.75E+01,0
Direct PRF,1134.01,8414907,008414914-pri,8414914,2:1,5.2,-1,-1,17.91,-2.13,1.19E+01,0
Direct PRF,1134.02,8414907,008414914-sec,8414914,2:1,5.2,-1,-1,17.91,-2.13,1.44E+01,0
Direct PRF,1136.01,8386035,008386048-pri,8386048,2:1,11.8,-2,2,16.65,-4,1.50E+02,0
Direct PRF,1139.01,8378634,008378656-pri,8378656,1:1,14.2,3,-1,12.79,0.27,1.78E+02,0
Direct PRF,1144.01,8302450,008302455-pri,8302455,1:2,73.9,11,-15,11.54,3.75,3.42E+02,0
Direct PRF,1147.01,8299955,3631.01,8299947,1:1,11.2,-2,-2,17.74,-4.27,1.93E+03,0
Direct PRF,1155.01,10342041,V2083-Cyg-pri,10342012,1:2,63,7,-13,6.9,7.76,4.96E+01,0
Direct PRF,1157.01,10342065,V2083-Cyg-pri,10342012,1:2,58.9,-5,-13,6.9,7.06,9.94E+01,0
Direct PRF,1158.01,10352945,3756.01,10352938,1:1,7.3,2,2,14.35,1.05,8.76E+00,0
Direct PRF,1164.01,10341831,V2083-Cyg-pri,10342012,1:2,195.9,33,-37,6.9,8.06,4.34E+02,0
Direct PRF,1167.01,10485179,T-Cyg1-03567-pri,10485137,1:1,37,9,0,11.88,2.62,1.66E+03,0
Direct PRF,1171.01,10485069,T-Cyg1-03567-pri,10485137,1:1,80.9,0,-21,11.88,3.46,2.13E+03,0
Direct PRF,1172.01,10341913,V2083-Cyg-pri,10342012,1:2,124.6,-1,-31,6.9,6.18,9.01E+02,0
Direct PRF,1173.01,10480921,010480952-sec,10480952,1:2,33.7,-8,3,12.22,1.97,1.92E+03,0
Direct PRF,1179.01,3655332,003655326-pri,3655326,1:1,4.2,-1,0,14.21,-0.36,2.28E+00,1
Direct PRF,1181.01,3344419,003344427-pri,3344427,1:1,11.4,-3,0,15.83,-0.84,5.33E+01,0
Direct PRF,1183.01,3544689,3629.01,3544694,1:1,9.8,2,2,15.93,-0.98,3.91E+01,0
Direct PRF,1184.01,4037164,004037163-pri,4037163,1:1,6.4,-1,2,16.68,-1.24,3.75E+01,0
Direct PRF,1190.01,3557341,003557421-pri,3557421,1:1,70.3,-6,-17,10.03,5.83,2.36E+02,0
Direct PRF,1195.01,3644523,003644542-pri,3644542,1:1,55,-13,-5,8.35,7.58,6.45E+01,0
Direct PRF,1196.01,3348082,003348093-pri,3348093,1:2,15.2,-2,3,16.2,-1.16,5.11E+02,0
Direct PRF,1200.01,3557493,003557421-pri,3557421,1:1,57.3,1,14,10.03,5,4.30E+02,0
Direct PRF,1213.01,3556220,3899.01,3556229,1:1,10.1,-2,-2,17.66,-4.28,1.69E+03,0
Direct PRF,1217.01,3542588,003542573-pri,3542573,1:2,27.1,-5,5,12.16,1.44,7.87E+02,0
Direct PRF,1231.01,6462874,006462863-pri,6462863,1:1,7.3,1,-1,12.21,3.51,2.04E+00,0
Direct PRF,1231.02,6462874,006462863-pri,6462863,1:1,7.3,1,-1,12.21,3.51,1.86E+00,0
Direct PRF,1235.01,6546528,006546508-pri,6546508,1:2,10.3,1,-2,15.74,-1.14,9.48E+01,0
Direct PRF,1237.01,6531491,3646.01,6531496,1:1,8.3,-1,1,16.09,-0.49,4.85E+01,0
Direct PRF,1243.01,6677256,3622.01,6677267,1:1,19.5,-4,-3,12.77,1.75,2.94E+01,0
Direct PRF,1248.01,8488878,008488876-pri,8488876,1:1,5.5,1,2,12.37,2.99,8.05E-01,2
Direct PRF,1250.01,8620565,008620561-pri,8620561,1:1,5.2,0,-1,16.78,-1.87,1.54E+01,0
Direct PRF,1259.01,8823426,008823397-pri,8823397,1:1,20.5,3,-4,13.25,2.34,6.02E+02,0
Direct PRF,1262.01,8703884,287.01,8703887,1:1,12.4,-1,-3,11.05,4.32,4.43E+00,0
Direct PRF,1263.01,8560840,008560861-pri,8560861,1:1,61,10,-11,8.5,7.03,5.51E+01,0
Direct PRF,1265.01,8552583,V2277-Cyg-pri,8552540,1:1,102.6,23,-13,10.29,4.77,9.78E+02,0
Direct PRF,1272.01,8552498,V2277-Cyg-pri,8552540,1:2,59.3,-13,-8,10.29,3.29,1.97E+03,0
Direct PRF,1277.01,8552565,V2277-Cyg-pri,8552540,1:1,65.4,15,-8,10.29,2.66,2.45E+03,0
Direct PRF,1280.01,8509361,008509346-pri,8509346,1:1,12.2,-3,-1,13.74,0.21,2.31E+02,0
Direct PRF,1284.01,10960993,3564.01,10960995,2:1,4.8,-1,0,14.5,-3.1,1.93E+01,1
Direct PRF,1286.01,10879208,3730.01,10879213,1:1,7.3,1,1,18.79,-2.89,1.05E+02,0
Direct PRF,1289.01,10748393,3.01,10748390,1:1,11,-2,-2,9.17,6.22,3.31E-01,2
Direct PRF,1291.01,10661771,010661783-pri,10661783,1:1,41.2,7,-8,9.59,5.38,1.75E+02,0
Direct PRF,1294.01,10549562,010549576-pri,10549576,1:1,14.3,-3,3,13.02,1.39,1.09E+02,0
Direct PRF,1297.01,10676923,3830.01,10676927,1:1,10.8,-2,2,17.02,-1.89,4.76E+02,0
Direct PRF,1322.01,4079535,3594.01,4079530,1:1,6.2,1,-1,15.56,-0.48,8.08E+00,0
Direct PRF,1327.01,4372768,3698.01,4372765,1:1,9.1,-1,1,18.23,-2.32,2.57E+02,0
Direct PRF,1330.01,4150539,004150611-sec,4150611,1:1,50.1,11,-6,7.9,7.8,5.43E+01,0
Direct PRF,1333.01,4285107,004285087-pri,4285087,1:2,19,2,-4,12.79,1.2,7.14E+02,0
Direct PRF,1334.01,4150624,004150611-sec,4150611,1:1,69.4,14,11,7.9,7.56,9.00E+01,0
Direct PRF,1340.01,4386059,3659.01,4386047,1:1,10.6,-1,-3,16.94,-3.06,7.13E+02,0
Direct PRF,1343.01,4570931,1658.01,4570949,1:1,9.6,0,-2,13.31,0.34,4.07E+01,0
Direct PRF,1350.01,7220322,3775.01,7220320,1:1,4.5,0,-1,14.08,-2.2,6.99E+00,1
Direct PRF,1352.01,6956233,006956216-pri,6956216,1:1,10.9,0,-3,14.55,1.38,2.59E+01,0
Direct PRF,1354.01,6891543,006891512-sec,6891512,1:2,25,-2,-6,11.39,3.06,3.45E+02,0
Direct PRF,1365.01,7174351,3844.01,7174349,1:2,7.4,-1,-2,19.29,-3.77,2.91E+02,0
Direct PRF,1373.01,6863839,006863840-pri,6863840,1:2,17,4,-3,15.14,-0.52,2.13E+03,0
Direct PRF,1374.01,7296086,3790.01,7296094,1:1,9.4,-2,-1,18.59,-3.97,6.22E+02,0
Direct PRF,1380.01,7025526,3550.01,7025540,1:1,16.2,1,4,15.78,-4.04,5.85E+03,0
Direct PRF,1394.01,8937021,3754.01,8937019,1:1,4.2,0,1,17.93,-2.49,4.93E+01,0
Direct PRF,1460.01,7751571,007751562-pri,7751562,1:1,6.1,0,-1,15.25,0.32,1.01E+01,0
Direct PRF,1462.01,11913013,011913071-pri,11913071,1:1,91.7,17,15,9.53,7.91,3.17E+01,0
Direct PRF,1464.01,7838655,007838639-pri,7838639,1:2,10,-1,-3,13.77,1.69,1.97E+01,0
